Game ID,Home Team,Home Shots,Home Shots Used,Home CHAD,Away Team,Away Shots,Away Shots Used,Away CHAD
0021500001,ATL,82,82,270.9010226636546,DET,96,95,247.3500264446922
0021500002,CHI,87,82,267.8263234473614,CLE,94,90,250.77898559897596
0021500003,GSW,96,96,315.87311475769326,NOP,83,81,283.0164602809038
0021500004,ORL,100,54,231.55714213856612,WAS,84,32,189.66769550394224
0021500005,BOS,85,85,303.6496654581057,PHI,83,83,284.32925686618984
0021500007,DET,74,74,269.74909296632393,UTA,75,75,256.374995280109
0021500009,TOR,80,80,257.24746130997454,IND,86,86,263.98851943880896
0021500010,HOU,87,67,218.54401785433697,DEN,79,70,311.0462595889572
0021500011,MEM,82,81,260.95647595750955,CLE,84,84,286.0151874603347
0021500012,MIL,86,59,228.20605816591004,NYK,93,65,197.12953401206215
0021500013,OKC,86,86,296.9428841401906,SAS,93,92,285.0696071727563
0021500015,POR,88,87,274.35223071471273,NOP,91,88,222.5039225906293
0021500016,SAC,94,84,259.635718435805,LAC,80,77,288.245931870163
0021500017,LAL,90,88,238.7544270181869,MIN,83,83,272.62276247445334
0021500018,IND,78,48,189.4920961218276,MEM,82,59,180.9596202793343
0021500019,NYK,93,92,298.8074570545936,ATL,83,83,301.2695311103268
0021500020,LAC,87,84,240.5742137208295,DAL,97,95,267.4439882742756
0021500021,CLE,86,35,263.1789442573043,MIA,77,31,275.9557876846843
0021500022,ORL,106,14,226.36377068306143,OKC,110,8,275.6827300038218
0021500023,PHI,63,12,205.37427688323444,UTA,88,6,310.9533825666846
0021500024,BOS,85,69,238.60499474392677,TOR,82,73,241.72203290649276
0021500025,DET,104,95,265.71586918668834,CHI,84,81,276.86870507899164
0021500026,ATL,83,66,205.42536261761967,CHA,88,77,188.2205221960515
0021500027,MIL,82,31,207.65414367637163,WAS,68,19,241.16078324313722
0021500028,SAS,86,5,234.61708673017333,BKN,77,1,323.0840990983156
0021500029,DEN,95,92,242.15663695817622,MIN,71,71,201.55958212124554
0021500031,SAC,101,58,213.97898041811192,LAL,89,49,248.16539425970691
0021500032,PHX,83,43,198.46390371411445,POR,86,48,222.30419203153517
0021500033,IND,70,25,238.46849146757148,UTA,88,48,208.97062619370976
0021500034,WAS,90,5,195.27489505986927,NYK,86,8,175.0651465489547
0021500035,NOP,100,48,242.14460940757257,GSW,84,35,316.74638889759683
0021500036,MEM,80,79,217.70391306052855,BKN,79,76,226.86411854692457
0021500037,POR,79,59,255.42688909248164,PHX,94,75,232.9424445471721
0021500038,LAC,76,66,260.15633755884255,SAC,101,89,276.3472176242062
0021500040,BOS,98,52,251.43466500324945,SAS,83,58,218.51843555730608
0021500041,MIA,86,64,259.93459380755303,HOU,79,57,283.96467342859
0021500042,TOR,90,69,196.589078337421,MIL,69,48,181.1652203276777
0021500043,CHI,87,44,168.45773993953446,ORL,90,44,216.2637379611594
0021500044,OKC,86,86,296.76112354899004,DEN,92,92,287.74967157172
0021500045,LAL,85,67,229.2637017215335,DAL,87,75,244.17735523113117
0021500046,PHI,85,74,255.36845049015693,CLE,81,68,240.24991912924764
0021500047,BKN,79,62,181.2621073308511,MIL,73,58,213.16565178217795
0021500048,NYK,89,89,288.6190718334126,SAS,79,79,288.19039418539205
0021500049,HOU,89,8,255.08950901748977,OKC,84,12,242.54249343550762
0021500050,MIN,79,58,222.25558925319703,POR,89,66,268.70733686860785
0021500051,GSW,84,83,326.195794625461,MEM,96,95,283.68520925511297
0021500052,LAC,81,61,321.85823840037136,PHX,98,68,309.5081861312324
0021500053,CHA,91,88,254.14049454277782,CHI,90,85,229.02972435707835
0021500054,DET,86,74,242.59759950545728,IND,88,76,250.7410022487679
0021500055,MIA,86,62,213.18877148521295,ATL,90,67,259.7048050435103
0021500056,NOP,90,19,220.68450694620614,ORL,90,24,207.49373728734386
0021500057,DAL,86,0,,TOR,82,1,164.14198665721895
0021500058,SAC,74,20,321.1608433855587,MEM,83,42,286.6132551124793
0021500059,LAL,86,41,194.6679786689437,DEN,85,48,263.44996454357306
0021500060,IND,91,2,410.544361011682,BOS,83,1,244.30593304627544
0021500061,WAS,87,0,,SAS,81,0,
0021500062,ATL,76,29,262.2760485157355,BKN,83,26,283.6583079537327
0021500063,CLE,83,2,1074.5077595217606,NYK,84,0,
0021500064,HOU,88,6,243.3783408142008,ORL,91,3,586.5473761385032
0021500065,MIL,86,1,261.88457592197807,PHI,81,1,105.02876579428069
0021500066,OKC,82,81,288.3020449989617,TOR,79,78,318.306156288106
0021500067,PHX,83,15,226.0565185635001,SAC,84,4,206.1660117540759
0021500068,UTA,88,87,273.0460077045004,POR,77,77,292.8014937474233
0021500069,GSW,85,85,357.32530023337364,LAC,88,88,339.17891088880583
0021500070,CHI,90,16,228.7213683122267,OKC,84,14,163.31231489106668
0021500071,MIN,85,32,295.0912665230781,MIA,76,45,225.25989871621806
0021500073,DEN,72,38,239.20803804724824,UTA,85,58,233.75108286674498
0021500074,POR,87,45,252.6708312643302,MEM,77,38,164.5185110550161
0021500075,ORL,77,0,,TOR,86,0,
0021500076,BOS,97,56,244.51985454918457,WAS,88,38,198.98019980928493
0021500077,BKN,93,30,196.19511776674238,LAL,78,30,239.03763083695804
0021500078,CLE,88,0,,PHI,79,1,131.53578799461303
0021500079,NYK,81,81,295.8741470001119,MIL,81,81,315.7011548527463
0021500080,IND,80,0,,MIA,81,0,
0021500081,NOP,84,7,200.87972627830308,ATL,77,7,380.5420039460154
0021500082,PHX,92,7,212.5080019229495,DET,74,4,186.1834895608784
0021500083,GSW,93,93,318.4913626618979,DEN,92,91,332.82380963374226
0021500084,SAC,93,22,211.33223848912186,HOU,82,13,457.1153856097079
0021500085,CHI,93,10,299.10308701354245,MIN,96,10,264.1997937172517
0021500086,ATL,92,7,428.4395394698777,WAS,78,3,201.58646084678938
0021500087,PHI,80,7,297.4241090689667,ORL,83,6,275.44641588158527
0021500088,DAL,84,63,194.23838940124537,NOP,86,64,200.82455382271309
0021500089,MIL,82,1,117.109104225284,BKN,82,0,
0021500090,SAS,81,2,384.9300887067309,CHA,73,1,424.28065698216847
0021500091,UTA,74,72,268.3344770763401,MEM,91,90,227.07476802762903
0021500092,SAC,87,10,222.97482184630206,GSW,92,15,288.23431327513947
0021500093,LAC,88,42,270.1461895856607,HOU,86,36,320.3178782701166
0021500094,CLE,83,83,253.6844654203975,IND,90,90,268.7329954274209
0021500095,NYK,84,84,259.7295079481287,LAL,94,93,281.0236269372181
0021500096,MIA,83,83,229.11243631865761,TOR,71,71,231.83716486269975
0021500097,OKC,94,94,322.4983609972424,PHX,84,84,267.0063862819722
0021500098,POR,76,76,252.0070510032111,DET,96,96,238.11502893305195
0021500099,IND,77,76,268.41586881886946,ORL,78,77,220.68644221427772
0021500101,ATL,86,84,278.71967574027826,MIN,80,80,268.52043201296993
0021500102,DEN,77,77,245.42345090780702,POR,91,91,279.06824734566004
0021500103,SAC,84,84,257.14078655271703,SAS,87,87,257.0974760560972
0021500104,GSW,91,90,280.8048390452272,DET,85,85,289.7441641747011
0021500105,LAC,68,67,307.0197218605406,MEM,80,80,289.4436130975669
